artist,title,country,sales,released,re_release,label,formats
Taylor Swift,Taylor Swift,US,5720000.0,"October 24, 2006","March 18, 2008[34]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Fearless,WW,12000000.0,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Fearless,US,7180000.0,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Fearless,AUS,500000.0,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Fearless,UK,609000.0,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Speak Now,WW,5000000.0,"October 25, 2010",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Speak Now,US,4694000.0,"October 25, 2010",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Speak Now,UK,169281.0,"October 25, 2010",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Red,WW,6000000.0,"October 22, 2012",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Red,US,4465000.0,"October 22, 2012",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Red,JPN,256000.0,"October 22, 2012",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Red,UK,693000.0,"October 22, 2012",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,WW,10100000.0,"October 27, 2014",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,US,6215000.0,"October 27, 2014",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,CAN,542000.0,"October 27, 2014",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,FRA,70000.0,"October 27, 2014",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,JPN,268200.0,"October 27, 2014",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,UK,1250000.0,"October 27, 2014",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Reputation,WW,4500000.0,"November 10, 2017",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming"
Taylor Swift,Reputation,US,2300000.0,"November 10, 2017",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming"
Taylor Swift,Reputation,CAN,80000.0,"November 10, 2017",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming"
Taylor Swift,Reputation,FRA,13000.0,"November 10, 2017",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming"
Taylor Swift,Reputation,UK,378000.0,"November 10, 2017",,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming"
Taylor Swift,Lover,WW,3200000.0,"August 23, 2019",,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Lover,US,1085000.0,"August 23, 2019",,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Lover,CAN,61000.0,"August 23, 2019",,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Lover,FRA,5700.0,"August 23, 2019",,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Lover,JPN,32601.0,"August 23, 2019",,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Lover,UK,221654.0,"August 23, 2019",,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Folklore,,,"July 24, 2020",,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Beyoncé,Dangerously in Love,World,11000000.0,"June 23, 2003 (UK)[39]",,Columbia,"CD, LP, digital download"
Beyoncé,Dangerously in Love,US,5100000.0,"June 23, 2003 (UK)[39]",,Columbia,"CD, LP, digital download"
Beyoncé,Dangerously in Love,UK,1260000.0,"June 23, 2003 (UK)[39]",,Columbia,"CD, LP, digital download"
Beyoncé,B'Day,World,8000000.0,"September 1, 2006 (US)[51]",,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download"
Beyoncé,B'Day,US,3610000.0,"September 1, 2006 (US)[51]",,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download"
Beyoncé,B'Day,UK,700000.0,"September 1, 2006 (US)[51]",,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download"
Beyoncé,I Am... Sasha Fierce,World,8000000.0,"November 14, 2008",,"Music World, Columbia","CD, CD/DVD, digital download"
Beyoncé,I Am... Sasha Fierce,US,3380000.0,"November 14, 2008",,"Music World, Columbia","CD, CD/DVD, digital download"
Beyoncé,I Am... Sasha Fierce,UK,1740000.0,"November 14, 2008",,"Music World, Columbia","CD, CD/DVD, digital download"
Beyoncé,4,US,1500000.0,"June 24, 2011",,"Parkwood, Columbia","CD, digital download"
Beyoncé,4,UK,791000.0,"June 24, 2011",,"Parkwood, Columbia","CD, digital download"
Beyoncé,Beyoncé,World,5000000.0,"December 13, 2013",,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download"
Beyoncé,Beyoncé,US,2512000.0,"December 13, 2013",,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download"
Beyoncé,Beyoncé,UK,418000.0,"December 13, 2013",,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download"
Beyoncé,Lemonade,World,2500000.0,"April 23, 2016",,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming"
Beyoncé,Lemonade,US,1554000.0,"April 23, 2016",,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming"
Beyoncé,Lemonade,UK,328000.0,"April 23, 2016",,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming"
Beyoncé,Lemonade,FR,30000.0,"April 23, 2016",,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming"
